"Province Name","Province Name","Province Code","OD Name","OD Name","OD Code","Health Center Name","Health Center Name","Health Center Code","Village Name","Village Name","Village Code",,"lng"
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Ou Russei","GUrb¤sSI",10203,"Ou Ruessei","GUrbJsSI",1100206,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet II","e)a:yEb:t 2",10211,"Prachear Thoam","RbCaFmµ",1100208,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet II","e)a:yEb:t 2",10211,"Prey Kub","éRBKub",1100205,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Reaksmei Sameakki","rsµIsamKÁI",1100114,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Reaksmei Sereipheab","rsµIesrIPaB",1100115,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Sokhsant","suxsan",1100116,,
"Banteay Meanchey","bnÞaymanC½y",1,"Thma Puok","fµBYk",104,"Banteay Chhmar","bnÞaycRkI",10404,"Srah Tamaing","RsHtamauMg",1070117,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet I","e)a:yEb:t 1",10202,"Stueng Bat","sÞwgbt;",1100211,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Nimitt","nimitþ",10205,"Thma Sen","fµsin",1100110,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Ou Russei","GUrb¤sSI",10203,"Tuol Pongro","TYlBRg",1100204,,
"Banteay Meanchey","bnÞaymanC½y",1,"Ou Chrov","GUreRCA",102,"Paoy Paet II","e)a:yEb:t 2",10211,"Tuol Prasat","TYlR)asaT",1100209,,
