"Province Name","Province Name","Province Code","District Name","District Name","District Code","OD Name","OD Name","OD Code","Health Center Code","Health Center Name","Health Center Name","Commune Name","Commune Name","Commune Code","Village Name","Village Name","Village Code","HaveVMW"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Bang Bat Lech","bg;bt;lic","01020205","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Bang Bat Kaeut","bg;bt;ekIt","01020206","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Bat Trang","bt;Rtg;","01020207","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Bat Trang Thum Lech","bt;Rtg;FMlic","01020208","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Bat Trang Thum Kaeut","bt;Rtg;FMekIt","01020209","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Bang Bat Touch","bt;Rtg;tUc","01020210","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010113","Bat Trang","bt;Rtg;","Bat Trang",")at;RTaMg","010202","Preaek Chik","ERBkCIk","01020211","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Pralay Char","RbLaycar","01020301","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Rongvean Lech","rgVanlic","01020302","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Rongvean Kaeut","rgVanekIt","01020303","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Chamnaom Lech","cMeNamlic","01020304","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Chamnaom Kaeut","cMeNamekIt","01020305","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Roung Kou Daeum","erageKaedIm","01020306","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Roung Kou Kandal","erageKakNþal","01020307","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Roung Kou Chong","erageKacug","01020308","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Peam Roung Kou","BamerageKa","01020309","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Ta Sal","tasl;","01020310","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Chuor Khchas","CYrx©as;","01020311","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Boeng Tras","bwgRts;","01020312","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010119","Phnum Touch","PñMtUc","Chamnaom","cMeNam","010203","Dang Trang","dgRtag","01020313","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Srae Prey","ERséRB","01020314","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Bos Tonloab","busSTnøab;","01020315","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Ta  Bun","tab‘un","01020316","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Kouk Ponley","eKakBénø","01020317","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Say Samaon","saysam:n","01020318","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010112","Chamnaom","cMeNam","Chamnaom","cMeNam","010203","Damnak Preah Angk","dMNak;RBHGgÁ","01020319","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Kouk Ballangk","eKakblø½gá","01020401","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Ta An","taGn","01020402","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Pralay Chrey","RbLayéRC","01020403","No"
"Banteay Meanchey","bnÞaymanC½y","01","Mongkol Borei","mgÁl;burI","0102","Mongkol Borei","mgÁl;burI","0101","010120","Kouk Ballangk","eKakblø½gá","Kouk Ballangk","eKakblø½gá","010204","Cheung Chab","eCIgcab","01020404","No"
